tiempo;VELOCIDAD;ACELERACION;;
684;1,0701075;-0,901535983;;3,8748288
685;0;-0,567867292;;3,757987
686;0;-0,126407208;;3,342606
687;0;1,483472417;;2,5998619
688;2,586994;1,712480808;;2,2019818
689;2,894283;-0,174533883;;1,8097633
690;2,6044943;-0,347995183;;1,6054186
691;2,234409;-0,606642917;;1,6316694
692;1,4839442;-0,586482992;;1,1195208
693;1,2095972;0,007506308;;0
694;1,4437958;0,34786645;;0
695;1,8231461;0,418640717;;0
696;2,217938;0,253071817;;0
697;2,3790462;0,285499342;;0
698;2,8541348;0,6437888;;0
699;3,4867284;0,215325417;;0
700;3,35393;0,071717917;;0
701;3,7935028;0,648550175;;0
702;4,447715;0,358632833;;0
703;4,4544063;-0,0993846;;0
704;4,337564;-0,216998242;;0
705;4,10491;-0,080468008;;0
706;4,2557235;0,3920466;;0
707;4,7652984;0,371629383;;0
708;4,916112;0,042507542;;0
709;4,9284654;0,0633965;;0
710;5,050969;0,026851083;;0
711;5,0833964;0,44669325;;0
712;5,833347;0,433139;;0
713;5,8271704;-0,065412717;;0
714;5,803493;-0,11628435;;0
715;5,629517;-0,072232775;;0
716;5,647532;-0,118686533;;1,7068189
717;5,4462757;0,109936533;;1,8272638
718;5,761801;-0,156818592;;2,6039798
719;5,2244306;-0,0324708;;3,2026017
720;5,7545943;0,3778919;;3,559819
721;5,7782717;-0,0851862;;3,8418868
722;5,657827;-0,178866042;;4,616029
723;5,4725266;-0,098269358;;4,9650106
724;5,455026;-0,117056233;;4,963981
725;5,335096;0,360991967;;4,951113
726;5,963057;-0,063353917;;4,639191
727;5,204871;-0,510175583;;4,6783104
728;5,173473;0,0554615;;4,711767
729;5,140531;-0,227764467;;4,8090496
730;4,782799;-0,197224633;;4,6325
731;4,8126526;0,156046567;;4,6206613
732;4,9171414;-0,275118883;;4,4461703
733;4,3427114;-0,263966817;;4,106454
734;4,324696;-0,520941733;;3,8604167
735;3,2406912;-1,121236483;;3,1372318
736;2,3522806;-0,580992667;;1,8427056
737;2,018226;-0,425460825;;1,4077653
738;1,5168864;-0,211636717;;1,3701905
739;1,6630675;0,308104058;;2,329118
740;2,0506532;0,529391817;;3,442977
741;2,5911117;0,243806942;;4,7200027
742;2,5885382;0,181096433;;6,3233624
743;3,0404642;0,486154975;;7,054268
744;3,472316;0,379564692;;7,0789747
745;3,8274744;0,435112017;;6,898822
746;4,3298435;0,467668233;;6,423733
747;4,67934;0,126964742;;6,390791
748;4,675222;0,199712042;;5,6470175
749;5,0669255;0,224118392;;4,135278
750;5,033983;-0,110708083;;2,6214802
751;4,8600073;-0,453941842;;1,6630675
752;4,3483734;0,111866192;;1,2255536
753;5,0293508;0,4863267;;1,0464302
754;5,0463367;-0,31989985;;1,2790847
755;4,6077933;-0,175563225;;1,245113
756;4,8147116;0,427734075;;1,0767989
757;5,2831087;0,276791825;;1,5415931
758;5,316051;-0,01647085;;1,6501994
759;5,2970066;-0,071031608;;1,7377023
760;5,123545;-0,41902695;;1,9435911
761;4,59544;-0,183155158;;1,821602
762;4,7318416;-0,030154217;;1,8262345
763;4,3612413;-0,62388625;;1,8123369
764;3,611806;-0,581764767;;1,8457938
765;3,1217902;-0,983162458;;1,5863739
766;1,79741;-0,806827008;;1,5786531
767;1,6440228;-0,098655058;;1,1993028
768;1,4715909;0,034572192;;1,2332745
769;1,6990981;0,19194845;;1,2142297
770;1,8231461;0,245694025;;1,4911503
771;2,153083;0,194908058;;1,2168033
772;2,1551418;-0,128294442;;0
773;2,016167;0,083170633;;0
774;2,2673514;0,049970883;;0
775;2,0527122;-0,253972508;;0
776;1,8478528;-0,194865258;;0
777;1,7078483;-0,038818667;;0
778;1,8468233;0,4729868;;0
779;2,5103002;0,397880317;;3,2973106
780;2,5916264;0,117571092;;4,2516055
781;2,8917093;0,496878475;;4,798755
782;3,487243;0,51746745;;5,303183
783;3,7126913;-0,308962033;;5,405613
784;2,949873;-0,77847435;;5,5260577
785;2,3002937;-0,637354792;;5,8575387
786;1,5297544;-1,287706383;;6,2142415
787;0;-0,828145125;;6,2425513
788;0;0,127479533;;6,404174
789;0;0;;6,409836
790;0;0;;6,4036593
791;0;0;;6,211668
792;0;-0,326333883;;6,5441785
793;0;2,206742783;;6,268287
794;3,9160066;2,788035975;;6,2899055
795;4,8471394;0,460333217;;6,5045447
796;5,3206835;0,356144683;;6,4052033
797;5,7134166;0,614707058;;6,7495527
798;6,572488;0,961415442;;7,475311
799;7,4850907;0,736438967;;7,6498017
800;7,957091;0,1823402;;7,6117125
801;7,952973;0,057477308;;7,574652
802;8,127464;0,10843475;;8,112537
803;8,158347;0,066570417;;8,217026
